Number	Corpus	Prefix	Construction	Number	Negation	Intensifier
1	Modern subcorpus	Pere	NPnom V NPacc (mix up)	Plural	No negation	No intensifier
2	Modern subcorpus	Pere	NPnom V NPacc (mix up)	Plural	No negation	No intensifier
3	Modern subcorpus	Pere	NPnom V NPacc (mix up)	Plural	No negation	No intensifier
4	Modern subcorpus	Pere	NPnom V (make unclear)	No direct object	Negation	No intensifier
5	Old subcorpus	Pere	NPnom V NPacc (mix up)	Plural	No negation	No intensifier
6	Old subcorpus	Pere	NPnom V NPacc и NPacc (tangle)	Plural	No negation	No intensifier
7	Old subcorpus	Pere	NPnom V NPacc (confuse)	Singular	No negation	No intensifier
8	Old subcorpus	Pere	NPnom V NPacc NPins (tangle)	Singular	No negation	No intensifier
9	Old subcorpus	Pere	NPnom V (mix up)	No direct object	Negation	No intensifier
10	Old subcorpus	Pere	NPnom V NPacc (mix up)	Singular	No negation	No intensifier
11	Old subcorpus	Pere	NPnom V NPacc (confuse)	Plural	No negation	No intensifier
12	Old subcorpus	Pere	NPnom V NPacc (confuse)	Plural	No negation	No intensifier
13	Old subcorpus	Pere	NPnom V NPacc с NPins (mix up)	Plural	No negation	No intensifier
14	Old subcorpus	Pere	NPnom V NPacc (mix up)	Singular	No negation	No intensifier
15	Old subcorpus	Pere	NPnom V NPacc (mix up)	Plural	No negation	No intensifier
16	Old subcorpus	Pere	NPnom V Vinf NPacc с NPins (mix up)	Plural	No negation	No intensifier
17	Old subcorpus	Pere	NPnom V NPacc NPins (tangle)	Singular	Negation	No intensifier
18	Old subcorpus	Pere	NPnom V NPacc (mix up)	Plural	No negation	No intensifier
19	Old subcorpus	Pere	NPnom V NPacc (mix up)	Plural	No negation	No intensifier
20	Old subcorpus	Pere	NPnom V NPacc (mix up)	Plural	No negation	No intensifier
21	Old subcorpus	Pere	NPnom V NPacc (mix up)	Plural	No negation	No intensifier
22	Old subcorpus	Pere	NPnom V NPacc (mix up)	Singular	No negation	No intensifier
23	Old subcorpus	Pere	NPnom V NPacc с NPins (tangle(	Singular	No negation	No intensifier
24	Old subcorpus	Pere	NPnom V NPacc и NPacc (mix up)	Plural	No negation	No intensifier
25	Old subcorpus	Pere	NPnom V NPacc (mix up)	Plural	No negation	No intensifier
26	Old subcorpus	Pere	NPnom V (confuse)	No direct object	No negation	No intensifier
27	Old subcorpus	Pere	NPnom V NPacc с NPins (mix up)	Plural	No negation	No intensifier
