Prefix;Construction;Semantics
pere;V_s_ins;concrete
pere;V_s_ins;anim
pere;V_acc;abst
pere;V_s_ins;anim
pere;V_acc;abst
pere;V_s_ins;abst
pere;V_acc;anim
pere;V_acc;abst
pere;V_acc;NO
pere;V_acc;NO
pere;V_acc;NO
pere;V_acc;NO
pere;V_acc;NO
pere;V_acc;NO
pere;V_acc;NO
pere;V_acc;NO
pere;V_acc;NO
pere;V_acc;NO
pere;V_acc;NO
pere;V_acc;NO
pere;V_acc;NO
pere;V_acc;NO
pere;V_acc;NO
pere;V_acc;NO
pere;V_acc;NO
pere;V_acc;NO
pere;V_acc;abst
pere;V_acc;abst
pere;V_acc;abst
pere;V_acc;abst
pere;V_acc;abst
pere;V_acc;concrete
pere;V_acc;abst
pere;V_acc;abst
pere;V_acc;concrete
pere;V_acc;abst
pere;V_acc;concrete
pere;V_acc;concrete
pere;V_acc;concrete
pere;V_acc;concrete
pere;V_acc;concrete
pere;V_acc;abst
pere;V_acc;abst
pere;V_acc;concrete
pere;V_acc;concrete
pere;V_acc;abst
pere;V_acc;concrete
pere;V_acc;abst
pere;V_acc;abst
pere;V_acc;abst
pere;V_acc;abst
pere;V_acc;abst
pere;V_acc;abst
pere;V_acc;abst
pere;V_acc;abst
pere;V_acc;abst
pere;V_acc;abst
pere;V_acc;abst
pere;V_acc;abst
pere;V_acc;abst
pere;V_acc;abst
pere;V_acc;abst
pere;V_acc;abst
pere;V_acc;abst
pere;V_acc;abst
pere;V_acc;abst
pere;V_acc;abst
pere;V_acc;abst
pere;V_acc;abst
pere;V_acc;abst
pere;V_acc;abst
pere;V_acc;abst
pere;V_acc;abst
pere;V_acc;concrete
pere;V_acc;abst
pere;V_acc;abst
pere;V_acc;abst
pere;V_acc;abst
pere;V_acc;abst
pere;V_acc;abst
pere;V_acc;abst
pere;V_acc;abst
pere;V_acc;abst
pere;V_acc;abst
pere;V_acc;abst
pere;V_s_ins;concrete
pere;V_s_ins;concrete
pere;V_s_ins;abst
pere;V_s_ins;concrete
pere;V_s_ins;concrete
pere;V_s_ins;abst
pere;V_s_ins;abst
pere;V_s_ins;concrete
pere;V_s_ins;concrete
pere;V_s_ins;concrete
pere;V_s_ins;abst
pere;V_s_ins;anim
pere;V_s_ins;anim
pere;V_s_ins;anim
pere;V_s_ins;anim
pere;V_s_ins;anim
pere;V_s_ins;anim
pere;V_s_ins;anim
pere;V_s_ins;anim
pere;V_s_ins;anim
pere;V_s_ins;anim
pere;V_s_ins;abst
pere;V_s_ins;abst
pere;V_s_ins;abst
pere;V_acc;concrete
pere;V_s_ins;abst
pere;V_acc;NO
pere;V_acc;NO
pere;V_acc;NO
pere;V_acc;NO
pere;V_acc;NO
pere;V_acc;NO
pere;V_acc;NO
pere;V_acc;NO
pere;V_acc;NO
pere;V_acc;NO
pere;V_acc;NO
pere;V_acc;NO
pere;V_acc;NO
pere;V_acc;NO
pere;V_acc;NO
pere;V_acc;NO
pere;V_acc;abst
pere;V_acc;abst
pere;V_acc;anim
pere;V_acc;abst
pere;V_acc;concrete
pere;V_acc;abst
pere;V_acc;concrete
pere;V_acc;concrete
pere;V_acc;concrete
pere;V_acc;abst
pere;V_acc;concrete
pere;V_acc;concrete
pere;V_acc;abst
pere;V_acc;abst
pere;V_acc;abst
pere;V_acc;abst
pere;V_acc;abst
pere;V_acc;abst
pere;V_acc;abst
pere;V_acc;abst
pere;V_acc;abst
pere;V_acc;abst
pere;V_s_ins;abst
pere;V_s_ins;abst
pere;V_s_ins;abst
pere;V_s_ins;abst
pere;V_s_ins;abst
pere;V_s_ins;abst
pere;V_s_ins;abst
pere;V_s_ins;abst
pere;V_s_ins;abst
pere;V_s_ins;concrete
pere;V_s_ins;anim
pere;V_s_ins;anim
pere;V_s_ins;anim
pere;V_s_ins;anim
pere;V_s_ins;anim
pere;V_s_ins;anim
pere;V_s_ins;anim
pere;V_s_ins;anim
pere;V_s_ins;anim
pere;V_s_ins;anim
pere;V_s_ins;abst
pere;V_s_ins;anim
pere;V_s_ins;anim
pere;passive;abst
pere;passive;abst
pere;passive;abst
pere;passive;concrete
pere;passive;abst
pere;passive;concrete
pere;passive;abst
pere;passive;abst
pere;passive;abst
pere;passive;concrete
pere;passive;abst
pere;passive;abst
pere;passive;concrete
pere;passive;concrete
pere;passive;abst
pere;passive;abst
pere;passive;concrete
pere;passive;abst
pere;passive;concrete
pere;passive;abst
pere;passive;abst
pere;passive;concrete
pere;passive;concrete
pere;passive;concrete
pere;passive;abst
pere;passive;concrete
pere;passive;abst
pere;passive;concrete
s;V_s_ins;anim
s;V_acc;NO
s;V_acc;NO
s;V_acc;concrete
s;V_acc;concrete
s;V_acc;abst
s;V_acc;abst
s;V_acc;abst
s;V_acc;abst
s;V_acc;abst
s;V_acc;abst
s;V_acc;abst
s;V_acc;abst
s;V_acc;abst
s;V_acc;abst
s;V_acc;abst
s;V_acc;abst
s;V_acc;abst
s;V_acc;abst
s;V_acc;abst
s;V_acc;abst
s;V_acc;abst
s;V_acc;abst
s;V_acc;abst
s;V_acc;abst
s;V_acc;abst
s;V_acc;abst
s;V_acc;concrete
s;V_acc;concrete
s;V_acc;abst
s;V_acc;abst
s;V_acc;abst
s;V_acc;abst
s;V_acc;abst
s;V_s_ins;abst
s;V_s_ins;anim
s;V_s_ins;abst
s;V_s_ins;concrete
s;V_s_ins;concrete
s;V_s_ins;anim
s;V_s_ins;concrete
s;V_s_ins;concrete
s;V_s_ins;concrete
s;V_s_ins;concrete
s;V_s_ins;abst
s;V_s_ins;anim
s;V_s_ins;anim
s;V_s_ins;anim
s;V_s_ins;anim
s;V_s_ins;anim
s;V_s_ins;concrete
s;V_s_ins;anim
s;V_s_ins;anim
s;V_s_ins;anim
s;V_s_ins;anim
s;V_s_ins;anim
s;V_s_ins;anim
s;V_s_ins;anim
s;V_s_ins;anim
s;V_s_ins;anim
s;V_s_ins;anim
s;V_s_ins;anim
s;V_s_ins;anim
s;V_s_ins;abst
s;V_s_ins;abst
s;V_s_ins;abst
s;V_s_ins;abst
s;V_s_ins;abst
s;V_s_ins;abst
s;V_s_ins;abst
s;V_s_ins;anim
s;V_acc;abst
s;V_acc;NO
s;V_acc;NO
s;V_acc;NO
s;V_acc;NO
s;V_acc;NO
s;V_acc;NO
s;V_acc;NO
s;V_acc;NO
s;V_acc;abst
s;V_acc;concrete
s;V_acc;concrete
s;V_acc;abst
s;V_acc;anim
s;V_acc;abst
s;V_acc;abst
s;V_acc;abst
s;V_acc;abst
s;V_acc;abst
s;V_acc;abst
s;V_acc;abst
s;V_s_ins;abst
s;V_s_ins;concrete
s;V_s_ins;concrete
s;V_s_ins;concrete
s;V_s_ins;concrete
s;V_s_ins;concrete
s;V_s_ins;anim
s;V_s_ins;concrete
s;V_s_ins;anim
s;V_s_ins;anim
s;V_s_ins;abst
s;V_s_ins;concrete
s;V_s_ins;concrete
s;V_s_ins;concrete
s;V_s_ins;abst
s;V_s_ins;concrete
s;V_s_ins;anim
s;V_s_ins;concrete
s;V_s_ins;abst
s;V_s_ins;concrete
s;V_s_ins;anim
s;V_s_ins;anim
s;V_s_ins;anim
s;V_s_ins;anim
s;V_s_ins;anim
s;V_s_ins;anim
s;V_s_ins;anim
s;V_s_ins;anim
s;V_s_ins;anim
s;V_s_ins;anim
s;V_s_ins;abst
s;V_s_ins;abst
s;V_s_ins;abst
s;V_s_ins;abst
s;V_s_ins;abst
s;V_s_ins;abst
s;V_s_ins;abst
s;V_s_ins;abst
s;V_s_ins;abst
s;V_s_ins;anim
s;V_s_ins;abst
s;V_s_ins;anim
s;V_s_ins;abst
s;V_s_ins;abst
s;V_s_ins;anim
s;V_s_ins;NO
s;V_s_ins;NO
s;V_s_ins;NO
s;V_s_ins;NO
s;V_s_ins;NO
s;V_s_ins;NO
s;V_s_ins;NO
s;V_s_ins;anim
s;passive;concrete
s;passive;abst
s;passive;concrete
s;passive;concrete
s;passive;concrete
s;passive;anim
s;passive;concrete
s;passive;concrete
s;passive;concrete
s;passive;concrete
s;passive;concrete
s;passive;concrete
s;passive;abst
s;passive;abst
s;passive;concrete
s;passive;concrete
s;passive;concrete
s;passive;concrete
s;passive;concrete
s;passive;concrete
s;passive;abst
s;passive;concrete
s;passive;abst
s;passive;concrete
s;passive;concrete
s;passive;concrete
s;passive;concrete
s;passive;concrete
s;passive;concrete
s;passive;abst
s;passive;concrete
s;passive;abst
s;passive;concrete
s;passive;concrete
s;passive;concrete
s;passive;concrete
s;passive;concrete
s;passive;concrete
s;passive;concrete
s;passive;concrete
s;passive;concrete
s;passive;abst
s;passive;concrete
s;passive;concrete
s;passive;concrete
s;passive;concrete
s;passive;concrete
s;passive;concrete
s;passive;abst
s;passive;concrete
s;passive;concrete
s;passive;concrete
s;passive;abst
s;passive;abst
s;passive;concrete
v;V_v_acc;anim
v;V_v_acc;anim
v;V_acc;anim
v;V_acc;anim
v;V_acc;anim
v;V_v_acc;anim
v;V_v_acc;anim
v;V_v_acc;abst
v;V_v_acc;anim
v;V_v_acc;anim
v;V_v_acc;anim
v;V_v_acc;anim
v;V_v_acc;anim
v;V_v_acc;anim
v;V_v_acc;abst
v;V_v_acc;anim
v;V_acc;NO
v;V_acc;abst
v;V_acc;anim
v;V_acc;anim
v;V_acc;anim
v;V_v_acc;anim
v;V_v_acc;anim
v;V_v_acc;anim
v;V_v_acc;anim
v;V_v_acc;anim
v;V_v_acc;anim
v;passive;abst
v;passive;anim
v;passive;abst
za;V_acc;anim
za;V_acc;anim
za;V_acc;abst
za;V_acc;anim
za;V_acc;anim
za;V_acc;abst
za;V_acc;anim
za;V_acc;abst
za;V_acc;anim
za;V_acc;anim
za;V_acc;anim
za;V_acc;abst
za;V_acc;anim
za;V_acc;abst
za;V_acc;abst
za;V_acc;concrete
za;V_acc;abst
za;V_acc;abst
za;V_acc;anim
za;V_acc;anim
za;V_acc;anim
za;V_acc;abst
za;V_acc;concrete
za;V_acc;anim
za;V_acc;abst
za;V_acc;concrete
za;V_acc;anim
za;V_acc;anim
za;V_acc;abst
za;V_acc;anim
za;V_acc;anim
za;V_acc;anim
za;V_acc;anim
za;V_acc;abst
za;V_acc;anim
za;V_acc;abst
za;V_acc;anim
za;V_acc;abst
za;V_acc;abst
za;V_acc;abst
za;V_acc;anim
za;V_acc;anim
za;V_acc;abst
za;V_acc;abst
za;V_acc;anim
za;V_acc;abst
za;V_acc;anim
za;V_acc;anim
za;V_acc;abst
za;V_acc;anim
za;V_acc;abst
za;V_acc;anim
za;V_acc;anim
za;V_acc;abst
za;V_acc;abst
za;V_acc;anim
za;V_acc;anim
za;V_acc;anim
za;V_acc;NO
za;V_acc;anim
za;V_acc;NO
za;passive;abst
za;passive;abst
za;passive;concrete
za;passive;abst
za;passive;abst
za;passive;concrete
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;anim
za;passive;abst
za;passive;abst
za;passive;concrete
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;anim
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;anim
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;concrete
za;passive;abst
za;passive;concrete
za;passive;concrete
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;concrete
za;passive;concrete
za;passive;concrete
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;anim
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;anim
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;concrete
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;concrete
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;anim
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;anim
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
za;passive;abst
