SentID	FRAME	ARG0	ARG1	ARG2	ARG3	ARG3-adj	ARG4	ARG5	ARG6	ARG7	ARG8	REL	TARGETFORM	SUPPORT	SUPPORT	SUPPORT-ARGM-ADJ
помощь_1	help.01	Фантомы	заклинаний									помощью	INS	YES		создаются
помощь_10	help.01	европеец	природы									помощь	OTHER			
помощь_100	help.02							похвалы				помощь	OTHER			
помощь_11	help.02	безработной		финансовую								помощью	INS			
помощь_12	help.01		санкций.									помощь	OTHER			
помощь_13	help.02					физическую						помощи	LOC			
помощь_14	help.02						от					помощью	INS			
помощь_15	help.01		ультратермостата.									помощи	LOC			
помощь_16	help.01		сербского									помощь	OTHER			
помощь_17	help.02		Всевышнего.									помощью	INS	YES		полагались
помощь_18	help.01		чайной									помощью	INS			
помощь_19	help.01		их									помощь	OTHER			
помощь_2	help.02	мы	Вам									помощи	LOC			
помощь_20	help.02	Шишкин										помощь	OTHER	YES	нуждался	
помощь_21	help.02	Шишкину.										помощи	LOC	YES	оказать	
помощь_22	help.02		таргетинга									помощью	INS			
помощь_23	help.02			помочь			вам					помощь	OTHER	YES	обращаемся	
помощь_24	help.02			освобождении								помощи	LOC			
помощь_25	help.02						знакомых,					помощь	OTHER	YES	прибегнуть	
помощь_26	help.02		медсестры			полноценную						помощь	OTHER	YES	оказывать	
помощь_27	help.02											помощь	OTHER	YES	оказать	
помощь_28	help.02					финансовую						помощи	LOC	YES	вносили	
помощь_29	help.02			решением			Вас					помощь	OTHER	YES	Прошу	
помощь_3	help.02	учителям		организации								помощью	INS			
помощь_30	help.01		электронного									помощью	INS			
помощь_32	help.01		Вы	баннера								помощь	OTHER			
помощь_33	help.02	тем	горожанам,	чьи	дома		наиболее	пострадали	при	наводнении.		помощи	LOC	YES	оказывается	
помощь_34	help.01	специалиста,		RV								помощь	OTHER			
помощь_35	help.02	нам										помощи	LOC	YES	нужна	
помощь_36	help.01		выскабливания									помощи	LOC			
помощь_37	help.02					гуманитарной						помощи	LOC			
помощь_38	help.02	жалкими				могучей	Запада					помощи	LOC			
помощь_39	help.01		лазера.									помощи	LOC			
помощь_4	help.01	Газовая	электросварочного									помощью	INS	YES		происходит
помощь_40	help.01		его									помощью	INS			
помощь_41	help.01		международных	экспертов,	в		том	числе	экспертов	из	США.	помощи	LOC			
помощь_42	help.02			заболевании		срочной						помощью	INS			
помощь_43	help.01		магии?									помощи	LOC			
помощь_44	help.01		дощечек									помощь	OTHER			
помощь_45	help.02	Вам	наши									помощи	LOC	YES	придут	
помощь_46	help.01	мы	которого									помощь	OTHER			
помощь_47	help.02	Им				заграничная						помощью	INS			
помощь_48	help.01		живой									помощью	INS			
помощь_49	help.02	Коринф	Коринф				Спарте,					помощь	OTHER	YES	обратился	
помощь_5	help.02		независимый	подготовке								помощью	INS	YES	оказывает	
помощь_50	help.01		данной									помощью	INS			
помощь_51	help.01		описанных									помощь	OTHER			
помощь_52	help.02											помощью	INS			
помощь_53	help.01		мастики,									помощи	LOC			
помощь_54	help.02											помощь	OTHER			
помощь_55	help.02						кубинскую					помощь	OTHER			
помощь_56	help.02	гражданам).										помощь	OTHER			
помощь_57	help.02		Аманулла			военную						помощью	INS			
помощь_58	help.01		консервативных									помощь	OTHER			
помощь_59	help.02											помощь	OTHER			
помощь_6	help.02	Гоминьдану.	американцам	военную								помощью	INS	YES		усилить
помощь_60	help.02						ко					помощью	INS	YES	обращаюсь	
помощь_61	help.01		готовых									помощи	LOC			
помощь_62	help.02			решении								помощь	OTHER			
помощь_63	help.02			составлением								помощью	INS			
помощь_64	help.01		Page									помощь	OTHER			
помощь_65	help.02		взрослого.									помощи	LOC			
