SentID	Tokens	FRAME	Args	TARGETNUM	Context
программа_1	программа	programme.05	Rel	SG	не находятся и программа оставляет пустую строчку
программа_2	программы	programme.01	Rel	SG	июле началась реализация программы по поддержке малого
программа_3	программы	programme.05	Rel	PL	ряде кафедр создаются программы для ЭВМ 0
программа_8	программ	programme.05	Rel	PL	всех современных почтовых программ есть опция создания
программа_10	программы	programme.05	Rel	SG	школы разработчикам нашей программы 0  Выполнение
программа_13	программе	programme.05	Rel	SG	0  В программе имеется возможность сохранить
программа_14	программы	programme.05	Rel	SG	и логику вашей программы 0  Включите
программа_16	программы	programme.05	Rel	SG	При поддержке компьютерной программы есть возможность отыскать
программа_17	программ	programme.05	Rel	PL	сети от вредоносных программ и несанкционированного доступа
программа_18	программе	programme.05	Rel	SG	0  В программе реализована возможность сохранения
программа_21	программы	programme.05	Rel	SG	изменить в настройках программы лицензионный ключ и
программа_21	программой	programme.05	Rel	SG	продолжить работу с программой 0  Компания
программа_24	программы	programme.05	Rel	SG	Новая версия навигационной программы для мобильных телефонов
программа_35	программой	programme.05	Rel	SG	практически с любой программой 0  Кроме
программа_39	программы	programme.05	Rel	PL	, что все программы в то время
программа_40	программе	programme.05	Rel	SG	образом запрос передаётся программе поиска 0 
программа_41	программы	programme.05	Rel	PL	установят на компьютер программы , которые по
программа_44	программы	programme.05	Rel	SG	0  Удобство программы состояло в том
программа_51	программы	programme.05	Rel	PL	, создавая компьютерные программы 0  Утверждена
программа_59	программ	programme.05	Rel	PL	наиболее простых хакерских программ не требует ,
программа_62	программы	programme.05	Rel	SG	Одной из целей программы моделирования Земли считается
программа_72	Программа	programme.05	Rel	SG	маневрировать 0  Программа коллективных расчётов внешне
