SentID	FRAME	TARGETNUM	TARGETCASE	ARG0word	ARG0gr	ARG1word	ARG2gr	ARG-mnr	argM-LVB	argM-LVB gramm	CX
взгляд_1	view.1	sg	nom	всех собравшихся	gen	на хоббита	на+acc		обратить	pass	обратить взгляд на
взгляд_2	view.1	sg	при+loc			на витрину	на+acc				при взгляде на
взгляд_3	view.2	sg	acc	наш	poss						на чей-л взгляд
взгляд_4	view.2	pl	nom	у него	у+gen	на трагедию	на+acc		были	act	чьи-л взгляды на
взгляд_5	view.lex	sg									на первый взгляд
взгляд_6	view.2	pl	с+instr			на жизнь	на+acc	определенный			чьи-л взгляды на
взгляд_7	view.lex	sg									с первого взгляда
взгляд_8	view.2	sg	acc	мой	poss						на чей-л взгляд
взгляд_9	view.1	sg	acc	она	nom	от Кэтлин	от+gen		отвести	act	отвести взгляд от
взгляд_10	view.1	sg	instr	собаки	nom	редких уличных прохожих	acc	внимательный	провожать	act	провожать взглядом
взгляд_11	view.1	sg	при+loc			на посделочную историю	на+acc	первый			при взляде на
взгляд_12	view.2	sg	nom	у человека	у+gen						чей-л взгляд
взгляд_13	view.2	pl	gen	красавица	nom			передовой			кто-л каких-л взглядов
взгляд_14	view.2	sg	acc	наш	poss						на чей-л взгляд
взгляд_15	view.2	sg	acc	его	poss						на чей-л взгляд
взгляд_16	view.2	sg	acc	Леонид Костюков	nom	на региональные фестивали	на+acc	противоположный, пессимистический	представить	act	представить какой-л взгляд на что-л
взгляд_17	view.2	sg	nom			на современный капитализм	на+acc	добросовестный			какой-л взгляд на
взгляд_18	view.2	pl	gen	женщины	nom	относительно своей роли в обществе	относительно+gen	либеральный	придерживаться	act	придерживаться каких-л взглядов
взгляд_19	view.1	sg	при+loc	Мелани	gen			нежный			при каком-л взгляде
взгляд_20	view.lex	sg									на первый взгляд
взгляд_21	view.1	sg	instr	Мария	nom	с Иисусом	с+instr		встречаться	act	встречаться взглядом с
взгляд_22	view.2	sg	acc	мой	poss						на чей-л взгляд
взгляд_23	view.1	sg	nom	всей туристической группы	gen	на городе	на+loc				взгляд замер на
взгляд_24	view.2	sg	nom					такой			взгляд сквозит
взгляд_25	view.1	sg	instr	он	nom	на двух женщин	на+acc		показать		показать взглядом на
взгляд_26	view.2	sg	acc	ваш	poss						на чей-л взгляд
взгляд_27	view.2	sg	acc	наш	poss						на чей-л взгляд
взгляд_28	view.1	sg	acc					проницательный			у X-а взгляд
взгляд_29	view.1	sg	nom								генерическое
взгляд_30	view.1	sg	acc	?	nom	на районную дорогу	на+acc	тревожный	направить	act	направить взгляд на
взгляд_31	view.1	sg	instr	Артур	nom	на меня	на+acc	жалостный	посмотреть	act	посмотреть каким-л взглядом на
взгляд_32	view.2	pl	gen	большинство террористических групп	nom	политических	adj	крайний	придерживаться	act	придерживаться каких-л взглядов
взгляд_33	view.lex										на первый взгляд
взгляд_34	view.lex										на первый взгляд
взгляд_35	view.2	sg	acc	мой	poss						на чей-л взгляд
взгляд_36	view.1	pl	под+instr	коллег	gen	?	nom	удивленный			под какими-л взглядами
взгляд_37	view.lex										на первый взгляд
взгляд_38	view.1	sg	acc	его	poss	Аня	zero		перехватить	act	перехватить чей-л взгляд
взгляд_40	view.2	sg	в+loc			на насильственную революцию	на+acc	такой			в каком-л взгляде
взгляд_41	view.1	sg	instr	я	nom	его	acc		проводить	act	проводить взглядом
взгляд_43	view.2	sg	nom	ваш	poss						чей-л взгляд
взгляд_44	view.1	sg	nom			в глаза	в+acc	прямой, вопросительный			какой-л взгляд в глаза
взгляд_45	view.1	sg	gen	он	nom	цель	zero		переброска	nmlz	переброска взгляда
взгляд_46	view.2	sg	nom	научный	adj						научный взгляд
взгляд_47	view.2	sg	acc	неискушенного читателя	gen						на чей-л взгляд
взгляд_48	view.1	sg	acc					выразительный	сделать	act	сделать взгляд каким-л
взгляд_49	view.1	sg	по+dat	премьера	gen						понять по взгляду
взгляд_50	view.1	sg	nom	ее	poss	к дороге	к+dat	безжизненный	приковывать	pass	приковывать чей-л взгляд
взгляд_51	view.2	sg	acc	мой	poss						на чей-л взгляд
взгляд_52	view.2	sg	acc	наш	poss						на чей-л взгляд
взгляд_53	view.2	sg	acc	наш	poss						на чей-л взгляд
взгляд_54	view.1	pl	acc			[баскетболист]	nom		приковывать	act	приковывать чей-л взгляд
взгляд_55	view.2	pl	instr					антимусульманский			известный какими-л взглядами
